ID,Name,Email,GP2_cohort_1,GP2_cohort_2,GP2_cohort_3,N_cohorts_submitted,1_Trial_capability,2_Site_involved_in_trials,3_Site_name,Region,4_Single_vs_multi_centre,5_Actively_recruiting,6_Names_Trials_Engaged,7_Industry_contact_consent,8_Biomarkers_collecting,8_Biomarkers_collecting_MRI,8_Biomarkers_collecting_PETscan,8_Biomarkers_collecting_DATscan,8_Biomarkers_collecting_Blood_Plasma_Serum,8_Biomarkers_collecting_CSF,8_Biomarkers_collecting_Skin_biopsy,8_Biomarkers_collecting_Brain,8_Biomarkers_collecting_Smell_testing,8_Biomarkers_collecting_Not_sure,8_Biomarkers_collecting_Other,9_Biomarkers_possible,9_Biomarkers_possible_MRI ,9_Biomarkers_possible_PETscan,9_Biomarkers_possible_DATscan,9_Biomarkers_possible_Blood_Plasma_Serum,9_Biomarkers_possible_CSF,9_Biomarkers_possible_Skin_biopsy, 9_Biomarkers_possible_Brain,9_Biomarkers_possible_Smell_testing,9_Biomarkers_possible_Other,10_SAA_generated
PI-44,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,CSAMR,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
PI-45,redacted,redacted,redacted,redacted,redacted,3,My centre has drug trials infrastructure and we would like to be involved in future trials,Not sure,redacted,OCEANIA,Multi-Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"Blood for Plasma/Seurm, Skin biopsy, Post-mortem brain donation, Quality of Life, RNA and DNA",No,No,No,Yes,No,Yes,Yes,No,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
PI-46,redacted,redacted,redacted,redacted,NA,2,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,NAMR,Multi-Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, Blood for Plasma/Seurm, Post-mortem brain donation",Yes,No,No,Yes,No,No,Yes,No,No,No,Skin biopsy,No,No,No,No,No,Yes,No,No,No,No
PI-47,redacted,redacted,redacted,NA,NA,1,We do not have capacity to be involved in drug trials,No,redacted,ASIA,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, Blood for Plasma/Seurm, CSF, Smell testing",Yes,No,No,Yes,Yes,No,No,Yes,No,No,"MRI, PETscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No
PI-48,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,Yes,redacted,EUR,Multi-Centre,Yes,redacted,Yes,"MRI, DATscan, Blood for Plasma/Seurm, Smell testing",Yes,No,Yes,Yes,No,No,No,Yes,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Post-mortem brain donation, Smell testing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
PI-49,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,ASIA,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, PETscan, Blood for Plasma/Seurm, Post-mortem brain donation",Yes,Yes,No,Yes,No,No,Yes,No,No,No,Skin biopsy,No,No,No,No,No,Yes,No,No,No,No
PI-50,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Single Centre,Yes,redacted,Yes,"MRI, DATscan, Blood for Plasma/Seurm",Yes,No,Yes,Yes,No,No,No,No,No,No,"CSF, Skin biopsy, Smell testing",No,No,No,No,Yes,Yes,No,Yes,No,No
PI-51,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,No,redacted,EUR,Single Centre,Yes,redacted,Yes,"MRI, DATscan",Yes,No,Yes,No,No,No,No,No,No,No,"MRI, PETscan, DATscan, Blood for Plasma/Seurm, Skin biopsy, Smell testing",Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No
PI-52,redacted,redacted,redacted,NA,NA,1,My centre has drug trials infrastructure and we would like to be involved in future trials,Yes,redacted,ASIA,Single Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,"MRI, Blood for Plasma/Seurm, CSF",Yes,No,No,Yes,Yes,No,No,No,No,No,"MRI, Blood for Plasma/Seurm, CSF",Yes,No,No,Yes,Yes,No,No,No,No,No
PI-53,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,EUR,Single Centre,Yes,redacted,Yes,"MRI, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing, colonic biopsies",Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,"MRI, DATscan, Blood for Plasma/Seurm, CSF, Skin biopsy, Smell testing, colonic biopsies",Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
PI-54,redacted,redacted,redacted,NA,NA,1,My centre has previously recruited movement disorders patients to a drug trial,Yes,redacted,ASIA,Multi-Centre,Yes,NONE / PREFER NOT TO ANSWER,Yes,Blood for Plasma/Seurm,No,No,No,Yes,No,No,No,No,No,No,"MRI, Blood for Plasma/Seurm",Yes,No,No,Yes,No,No,No,No,No,No
